ticker,company_name,industry,listing_date,market,source_name,source_file,data_as_of,table_grain
1477,聚陽實業股份有限公司,紡織纖維,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1503,士林電機廠股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1504,東元電機股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1506,正道工業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1512,瑞利企業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1513,中興電工機械股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1514,亞力電機股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1515,力山工業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1516,川飛能源股份有限公司,其他,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1517,利奇機械工業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1519,華城電機股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1521,大億交通工業製造股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1522,堤維西交通工業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1524,耿鼎企業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1525,江申工業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1526,日馳企業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1527,鑽全實業股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1528,恩德科技股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1529,樂事綠能科技股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1530,亞崴機電股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1531,高林股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1532,勤美股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1533,車王電子股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1535,中宇環保工程股份有限公司,電機機械,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
1536,和大工業股份有限公司,汽車工業,,TWSE,shared_data.company_info,D:\Claude projects\主觀看盤\data\fundamentals\company_info.csv,2026-05-14T18:13:20+00:00,snapshot
