ticker,market_cap,roe,eps,revenue,net_income,total_equity,operating_cf,free_cash_flow,source_name,source_file,data_as_of,table_grain
1259,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1264,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1268,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1294,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1295,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1301,298553278464,-0.03081,-1.58,175411396608.0,-10048659456.0,363222429000.0,6619088000.0,-7941580000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1303,686016102400,0.0138,0.57,259911745536.0,4518598144.0,355665838000.0,8649366000.0,-2679968000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1304,13939861504,-0.16377,-2.6,44167999488.0,-2790961920.0,17511084000.0,866773000.0,-2821025000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1305,7553649664,-0.11191,-1.58,9220952064.0,-918979968.0,7725931000.0,-87482000.0,-2101674000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1307,12670502912,0.111190006,2.84,10814943232.0,1132305024.0,10074023000.0,1528641000.0,698020000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1308,7926469120,-0.09618,-1.76,5743172096.0,-1044502976.0,10236406000.0,241016000.0,-119246000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1309,6440909824,-0.07092,-1.07,14485681152.0,-427371008.0,5753799000.0,734485000.0,567560000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1310,4407712768,-0.09618,-1.37,8673775616.0,-724616000.0,7400537000.0,-102109000.0,-117697000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1312,12260802560,-0.13259,-3.97,22614026240.0,-4391887872.0,28865721000.0,-564518000.0,-2255974000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1313,14705849344,-0.052750003,-1.17,58766229504.0,-1553533056.0,29430522000.0,1629114000.0,634726000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1314,26569646080,-0.03518,-0.72,19217031168.0,-2719098880.0,76264997000.0,-3846385000.0,-4331536000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1315,5894016000,0.01543,1.55,2282533888.0,147732000.0,10126439000.0,248508000.0,26258000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1316,3984139520,0.0681,-0.52,4404254208.0,-170638000.0,4147432000.0,-453237000.0,-525757000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1319,47318159360,0.13732,6.43,25094262784.0,3803810048.0,28065768000.0,4417206000.0,1160801000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1321,6499182080,-0.046880003,-1.25,3594885888.0,-275548992.0,5691881000.0,244474000.0,128169000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1323,1752480128,0.01972,0.26,2018488064.0,51216000.0,2563742000.0,199913000.0,144636000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1324,770000512,-0.0659,-0.82,733979008.0,-61280000.0,892551000.0,17406000.0,-37405000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1325,2289794816,-0.023239998,-0.7,290904992.0,-59568000.0,2589242000.0,-10318000.0,-27333000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1326,269639647232,0.00321,-0.99,289874345984.0,889670016.0,345866503000.0,25105473000.0,10786822000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1336,0,0.0,0.0,0.0,0.0,,,,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1337,1331327232,-0.11965,-1.74,663540992.0,-466886016.0,3668100000.0,-340490000.0,-944813000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1338,1292144000,-0.02629,-2.24,5231666176.0,-182256000.0,5822242000.0,675702000.0,-272725000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1339,3016846848,0.041050002,2.41,1661177984.0,178923008.0,4032364000.0,740309000.0,394517000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1340,834959616,-0.13350001,-2.36,40648000.0,-378644992.0,2607225000.0,-59797000.0,-193898000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1341,3229196032,0.14316,3.7,2567241984.0,196043008.0,1291321000.0,436043000.0,386322000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
1342,7355485696,0.21783,5.59,2999246080.0,464195008.0,2396408000.0,427110000.0,331655000.0,shared_data.yfinance_fundamentals,D:\Claude projects\主觀看盤\data\fundamentals\yfinance_fundamentals.csv,2026-05-14T18:13:20+00:00,snapshot
